,date,Month,HS4,Description_HS4,volume,value_USD,prev_value_USD,value_MoM_pct_change,holiday,weather_season,tourism_event_count,back_to_school
0,2022-01-01,January,402,"Milk and cream, concentrated or sweetened",63,7164607.81,3612280.7,0.98,1,Harmattan (Dry),0,1
1,2022-02-01,February,402,"Milk and cream, concentrated or sweetened",71,10901514.78,7164607.81,0.52,0,Harmattan (Dry),1,0
2,2022-03-01,March,402,"Milk and cream, concentrated or sweetened",64,5823930.76,10901514.78,-0.47,1,Hot/Dry Season,3,0
3,2022-04-01,April,402,"Milk and cream, concentrated or sweetened",68,6135675.67,5823930.76,0.05,1,Major Rainy Season,1,0
4,2022-05-01,May,402,"Milk and cream, concentrated or sweetened",60,9046596.3,6135675.67,0.47,1,Major Rainy Season,1,1
5,2022-06-01,June,402,"Milk and cream, concentrated or sweetened",72,11130098.29,9046596.3,0.23,1,Major Rainy Season,0,0
6,2022-07-01,July,402,"Milk and cream, concentrated or sweetened",66,11612217.66,11130098.29,0.04,0,Major Rainy Season,0,0
7,2022-08-01,August,402,"Milk and cream, concentrated or sweetened",73,9771821.530000001,11612217.66,-0.16,1,Major Rainy Season,0,0
8,2022-09-01,September,402,"Milk and cream, concentrated or sweetened",61,11247970.03,9771821.530000001,0.15,1,Minor Rainy Season,8,1
9,2022-10-01,October,402,"Milk and cream, concentrated or sweetened",48,5593199.1,11247970.03,-0.5,0,Minor Rainy Season,0,0
10,2022-11-01,November,402,"Milk and cream, concentrated or sweetened",54,4547923.12,5593199.1,-0.19,0,Minor Rainy Season,0,0
11,2022-12-01,December,402,"Milk and cream, concentrated or sweetened",47,3612280.7,4547923.12,-0.21,1,Harmattan (Dry),9,0
12,2022-01-01,January,902,Tea,33,215373.3,280028.91,-0.23,1,Harmattan (Dry),0,1
13,2022-02-01,February,902,Tea,36,423050.69000000006,215373.3,0.96,0,Harmattan (Dry),1,0
14,2022-03-01,March,902,Tea,32,369341.06,423050.69000000006,-0.13,1,Hot/Dry Season,3,0
15,2022-04-01,April,902,Tea,50,209560.94,369341.06,-0.43,1,Major Rainy Season,1,0
16,2022-05-01,May,902,Tea,35,787359.07,209560.94,2.76,1,Major Rainy Season,1,1
17,2022-06-01,June,902,Tea,30,508778.6,787359.07,-0.35,1,Major Rainy Season,0,0
18,2022-07-01,July,902,Tea,38,238187.33000000002,508778.6,-0.53,0,Major Rainy Season,0,0
19,2022-08-01,August,902,Tea,33,444346.92,238187.33000000002,0.87,1,Major Rainy Season,0,0
20,2022-09-01,September,902,Tea,34,174775.32,444346.92,-0.61,1,Minor Rainy Season,8,1
21,2022-10-01,October,902,Tea,31,199444.74000000002,174775.32,0.14,0,Minor Rainy Season,0,0
22,2022-11-01,November,902,Tea,40,77888.81,199444.74000000002,-0.61,0,Minor Rainy Season,0,0
23,2022-12-01,December,902,Tea,44,280028.91,77888.81,2.6,1,Harmattan (Dry),9,0
24,2022-01-01,January,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",21,28111.539999999997,351659.30000000005,-0.92,1,Harmattan (Dry),0,1
25,2022-02-01,February,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",24,207888.61,28111.539999999997,6.4,0,Harmattan (Dry),1,0
26,2022-03-01,March,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",22,19659.72,207888.61,-0.91,1,Hot/Dry Season,3,0
27,2022-04-01,April,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",21,163980.48,19659.72,7.34,1,Major Rainy Season,1,0
28,2022-05-01,May,904,"Pepper of the genus piper, capiscum or pimenta, dried, crushed or ground",16,226331.37999999998,163980.48,0.38,1,Major Rainy Season,1,1
